ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000000003,TSPAN6,green,9
ENSG00000000419,DPM1,grey,11
ENSG00000000457,SCYL3,grey,11
ENSG00000000460,C1orf112,grey,11
ENSG00000000938,FGR,purple,19
ENSG00000000971,CFH,purple,19
ENSG00000001036,FUCA2,lightyellow,15
ENSG00000001084,GCLC,blue,2
ENSG00000001167,NFYA,blue,2
ENSG00000001460,STPG1,grey,11
ENSG00000001461,NIPAL3,blue,2
ENSG00000001497,LAS1L,darkgrey,6
ENSG00000001561,ENPP4,blue,2
ENSG00000001617,SEMA3F,grey,11
ENSG00000001626,CFTR,blue,2
ENSG00000001629,ANKIB1,blue,2
ENSG00000001631,KRIT1,darkturquoise,8
ENSG00000002016,RAD52,tan,23
ENSG00000002330,BAD,grey60,12
ENSG00000002549,LAP3,purple,19
ENSG00000002586,CD99,purple,19
ENSG00000002587,HS3ST1,grey,11
ENSG00000002745,WNT16,grey,11
ENSG00000002746,HECW1,greenyellow,10
ENSG00000002822,MAD1L1,grey,11
ENSG00000002834,LASP1,yellow,25
ENSG00000002919,SNX11,grey,11
ENSG00000002933,TMEM176A,lightyellow,15
ENSG00000003056,M6PR,brown,3
ENSG00000003096,KLHL13,yellow,25
ENSG00000003137,CYP26B1,grey,11
ENSG00000003147,ICA1,grey,11
ENSG00000003249,DBNDD1,yellow,25
ENSG00000003393,ALS2,grey,11
ENSG00000003400,CASP10,pink,18
ENSG00000003402,CFLAR,purple,19
ENSG00000003509,NDUFAF7,grey,11
ENSG00000003756,RBM5,turquoise,24
ENSG00000003987,MTMR7,brown,3
ENSG00000003989,SLC7A2,green,9
ENSG00000004139,SARM1,turquoise,24
ENSG00000004142,POLDIP2,brown,3
ENSG00000004399,PLXND1,salmon,22
ENSG00000004455,AK2,lightyellow,15
ENSG00000004468,CD38,green,9
ENSG00000004478,FKBP4,grey,11
ENSG00000004487,KDM1A,brown,3
ENSG00000004534,RBM6,grey,11
ENSG00000004660,CAMKK1,grey,11
ENSG00000004700,RECQL,grey,11
ENSG00000004766,CCDC132,brown,3
ENSG00000004776,HSPB6,turquoise,24
ENSG00000004777,ARHGAP33,salmon,22
ENSG00000064999,ANKS1A,grey,11
ENSG00000166006,KCNC2,brown,3
ENSG00000004848,ARX,grey,11
ENSG00000004864,SLC25A13,blue,2
ENSG00000004866,ST7,grey,11
ENSG00000004897,CDC27,brown,3
ENSG00000123643,SLC36A1,midnightblue,17
ENSG00000004975,DVL2,blue,2
ENSG00000005007,UPF1,blue,2
ENSG00000005020,SKAP2,yellow,25
ENSG00000005022,SLC25A5,grey,11
ENSG00000005059,CCDC109B,pink,18
ENSG00000005075,POLR2J,grey,11
ENSG00000005100,DHX33,grey,11
ENSG00000005108,THSD7A,yellow,25
ENSG00000005156,LIG3,black,1
ENSG00000005175,RPAP3,grey,11
ENSG00000005194,CIAPIN1,brown,3
ENSG00000005238,FAM214B,blue,2
ENSG00000005243,COPZ2,grey,11
ENSG00000005249,PRKAR2B,brown,3
ENSG00000005302,MSL3,grey,11
ENSG00000005339,CREBBP,turquoise,24
ENSG00000005379,BZRAP1,red,20
ENSG00000005381,MPO,grey,11
ENSG00000005421,PON1,turquoise,24
ENSG00000005436,GCFC2,grey,11
ENSG00000005448,WDR54,grey,11
ENSG00000005469,CROT,grey,11
ENSG00000005471,ABCB4,grey,11
ENSG00000005483,KMT2E,turquoise,24
ENSG00000005486,RHBDD2,magenta,16
ENSG00000005513,SOX8,blue,2
ENSG00000005700,IBTK,blue,2
ENSG00000005801,ZNF195,grey,11
ENSG00000005810,MYCBP2,brown,3
ENSG00000005812,FBXL3,darkgreen,5
ENSG00000005844,ITGAL,pink,18
ENSG00000005882,PDK2,grey,11
ENSG00000005884,ITGA3,grey,11
ENSG00000005889,ZFX,grey,11
ENSG00000005893,LAMP2,blue,2
ENSG00000005955,GGNBP2,black,1
ENSG00000005961,ITGA2B,darkturquoise,8
ENSG00000005981,ASB4,lightgreen,14
ENSG00000006007,GDE1,brown,3
ENSG00000006016,CRLF1,black,1
ENSG00000006025,OSBPL7,turquoise,24
ENSG00000006042,TMEM98,blue,2
ENSG00000006047,YBX2,salmon,22
ENSG00000006062,MAP3K14,turquoise,24
ENSG00000006071,ABCC8,lightcyan,13
ENSG00000006114,SYNRG,blue,2
ENSG00000006116,CACNG3,midnightblue,17
ENSG00000006118,TMEM132A,yellow,25
ENSG00000006125,AP2B1,midnightblue,17
ENSG00000006128,TAC1,grey60,12
ENSG00000006194,ZNF263,darkgreen,5
ENSG00000006210,CX3CL1,yellow,25
ENSG00000006282,SPATA20,grey,11
ENSG00000006283,CACNA1G,yellow,25
ENSG00000006432,MAP3K9,magenta,16
ENSG00000006451,RALA,red,20
ENSG00000006453,BAIAP2L1,tan,23
ENSG00000006459,JHDM1D,red,20
ENSG00000006468,ETV1,grey,11
ENSG00000006530,AGK,cyan,4
ENSG00000006534,ALDH3B1,grey,11
ENSG00000006555,TTC22,grey,11
ENSG00000006576,PHTF2,grey,11
ENSG00000006607,FARP2,blue,2
ENSG00000006611,USH1C,blue,2
ENSG00000128989,ARPP19,yellow,25
ENSG00000006634,DBF4,grey,11
ENSG00000006652,IFRD1,grey,11
ENSG00000006695,COX10,grey,11
ENSG00000006704,GTF2IRD1,turquoise,24
ENSG00000006712,PAF1,grey,11
ENSG00000006715,VPS41,midnightblue,17
ENSG00000006740,ARHGAP44,yellow,25
ENSG00000006744,ELAC2,brown,3
ENSG00000006747,SCIN,purple,19
ENSG00000006756,ARSD,green,9
ENSG00000006757,PNPLA4,grey,11
ENSG00000006831,ADIPOR2,blue,2
ENSG00000006837,CDKL3,tan,23
ENSG00000007001,UPP2,grey,11
ENSG00000007047,MARK4,turquoise,24
ENSG00000007062,PROM1,red,20
ENSG00000007080,CCDC124,grey,11
ENSG00000164983,TMEM65,yellow,25
ENSG00000007171,NOS2,grey,11
ENSG00000007174,DNAH9,grey,11
ENSG00000007202,KIAA0100,grey,11
ENSG00000170365,SMAD1,grey,11
ENSG00000007264,MATK,yellow,25
ENSG00000007341,ST7L,blue,2
ENSG00000007372,PAX6,green,9
ENSG00000007376,RPUSD1,grey,11
ENSG00000007384,RHBDF1,tan,23
ENSG00000007392,LUC7L,grey,11
ENSG00000007402,CACNA2D2,cyan,4
ENSG00000007516,BAIAP3,black,1
ENSG00000007520,TSR3,grey,11
ENSG00000007541,PIGQ,grey,11
ENSG00000007545,CRAMP1L,grey,11
ENSG00000007866,TEAD3,purple,19
ENSG00000007923,DNAJC11,cyan,4
ENSG00000007944,MYLIP,grey,11
ENSG00000008018,PSMB1,grey,11
ENSG00000008056,SYN1,cyan,4
ENSG00000008083,JARID2,grey,11
ENSG00000008086,CDKL5,yellow,25
ENSG00000008118,CAMK1G,cyan,4
ENSG00000008130,NADK,red,20
ENSG00000008226,DLEC1,grey,11
ENSG00000008256,CYTH3,yellow,25
ENSG00000008277,ADAM22,brown,3
ENSG00000008282,SYPL1,blue,2
ENSG00000008283,CYB561,brown,3
ENSG00000008294,SPAG9,blue,2
ENSG00000008300,CELSR3,grey,11
ENSG00000008311,AASS,lightyellow,15
ENSG00000008382,MPND,salmon,22
ENSG00000008394,MGST1,green,9
ENSG00000008405,CRY1,grey,11
ENSG00000008438,PGLYRP1,turquoise,24
ENSG00000008441,NFIX,turquoise,24
ENSG00000008513,ST3GAL1,grey,11
ENSG00000008517,IL32,grey,11
ENSG00000008710,PKD1,grey,11
ENSG00000008735,MAPK8IP2,grey,11
ENSG00000008838,MED24,yellow,25
ENSG00000008853,RHOBTB2,yellow,25
ENSG00000008869,HEATR5B,brown,3
ENSG00000008952,SEC62,grey,11
ENSG00000008988,RPS20,grey,11
ENSG00000009307,CSDE1,greenyellow,10
ENSG00000009335,UBE3C,brown,3
ENSG00000009413,REV3L,grey,11
ENSG00000009694,TENM1,yellow,25
ENSG00000009709,PAX7,grey,11
ENSG00000009724,MASP2,grey,11
ENSG00000009780,FAM76A,grey,11
ENSG00000009790,TRAF3IP3,grey,11
ENSG00000009830,POMT2,blue,2
ENSG00000185245,GP1BA,turquoise,24
ENSG00000009950,MLXIPL,turquoise,24
ENSG00000009954,BAZ1B,blue,2
ENSG00000010017,RANBP9,brown,3
ENSG00000010072,SPRTN,blue,2
ENSG00000010165,METTL13,cyan,4
ENSG00000010219,DYRK4,grey,11
ENSG00000010244,ZNF207,grey,11
ENSG00000010256,UQCRC1,brown,3
ENSG00000010270,STARD3NL,grey60,12
ENSG00000010278,CD9,blue,2
ENSG00000010292,NCAPD2,blue,2
ENSG00000213096,ZNF254,lightgreen,14
ENSG00000010318,PHF7,darkred,7
ENSG00000010319,SEMA3G,grey,11
ENSG00000010322,NISCH,grey,11
ENSG00000010327,STAB1,pink,18
ENSG00000010361,FUZ,blue,2
ENSG00000010379,SLC6A13,grey,11
ENSG00000010404,IDS,yellow,25
ENSG00000010438,PRSS3,brown,3
ENSG00000010539,ZNF200,grey,11
ENSG00000010610,CD4,pink,18
ENSG00000010626,LRRC23,darkturquoise,8
ENSG00000010671,BTK,pink,18
