,Module
ENSG00000000003,NA
ENSG00000000005,NA
ENSG00000000419,M2
ENSG00000000457,NA
ENSG00000000460,NA
ENSG00000000938,M16
ENSG00000000971,NA
ENSG00000001036,NA
ENSG00000001084,NA
ENSG00000001167,NA
ENSG00000001460,NA
ENSG00000001461,M14
ENSG00000001497,M6
ENSG00000001561,NA
ENSG00000001617,NA
ENSG00000001626,NA
ENSG00000001630,NA
ENSG00000002016,NA
ENSG00000002079,NA
ENSG00000002330,NA
ENSG00000002549,M16
ENSG00000002586,M16
ENSG00000002587,M2
ENSG00000002726,NA
ENSG00000002745,NA
ENSG00000002746,NA
ENSG00000002822,NA
ENSG00000002834,NA
ENSG00000002919,M7
ENSG00000002933,NA
ENSG00000003056,NA
ENSG00000003096,NA
ENSG00000003137,M8
ENSG00000003147,M12
ENSG00000003249,NA
ENSG00000003393,M12
ENSG00000003400,NA
ENSG00000003402,M16
ENSG00000003436,NA
ENSG00000003509,M6
ENSG00000003756,NA
ENSG00000003987,M12
ENSG00000003989,M16
ENSG00000004059,M8
ENSG00000004139,M6
ENSG00000004142,NA
ENSG00000004399,M3
ENSG00000004455,M16
ENSG00000004468,NA
ENSG00000004478,NA
ENSG00000004487,M1
ENSG00000004534,M6
ENSG00000004660,NA
ENSG00000004700,NA
ENSG00000004766,M8
ENSG00000004776,M6
ENSG00000004777,NA
ENSG00000004779,M2
ENSG00000004799,M16
ENSG00000004809,NA
ENSG00000004838,NA
ENSG00000004846,NA
ENSG00000004848,NA
ENSG00000004864,M14
ENSG00000004866,NA
ENSG00000004897,NA
ENSG00000004939,NA
ENSG00000004948,NA
ENSG00000004961,M8
ENSG00000004975,M6
ENSG00000005001,NA
ENSG00000005007,M7
ENSG00000005020,M17
ENSG00000005022,M2
ENSG00000005059,NA
ENSG00000005073,NA
ENSG00000005075,NA
ENSG00000005100,M1
ENSG00000005102,NA
ENSG00000005156,NA
ENSG00000005175,NA
ENSG00000005187,NA
ENSG00000005189,NA
ENSG00000005194,M2
ENSG00000005206,NA
ENSG00000005238,M6
ENSG00000005243,NA
ENSG00000005249,NA
ENSG00000005302,NA
ENSG00000005339,NA
ENSG00000005381,NA
ENSG00000005421,NA
ENSG00000005436,NA
ENSG00000005448,M12
ENSG00000005469,NA
ENSG00000005471,NA
ENSG00000005483,NA
ENSG00000005486,NA
ENSG00000005513,M5
ENSG00000005700,NA
ENSG00000005801,NA
ENSG00000005810,M12
ENSG00000005812,NA
ENSG00000005844,NA
ENSG00000005882,NA
ENSG00000005884,NA
ENSG00000005889,NA
ENSG00000005893,M5
ENSG00000005955,M1
ENSG00000005961,NA
ENSG00000005981,NA
ENSG00000006007,NA
ENSG00000006015,NA
ENSG00000006016,NA
ENSG00000006025,M6
ENSG00000006042,M5
ENSG00000006047,NA
ENSG00000006059,NA
ENSG00000006062,NA
ENSG00000006071,M6
ENSG00000006074,NA
ENSG00000006075,NA
ENSG00000006114,NA
ENSG00000006116,M8
ENSG00000006118,NA
ENSG00000006125,M17
ENSG00000006128,M2
ENSG00000006194,NA
ENSG00000006210,NA
ENSG00000006282,NA
ENSG00000006283,NA
ENSG00000006327,NA
ENSG00000006377,NA
ENSG00000006432,M12
ENSG00000006451,NA
ENSG00000006453,NA
ENSG00000006468,NA
ENSG00000006530,M8
ENSG00000006534,NA
ENSG00000006555,NA
ENSG00000006576,NA
ENSG00000006606,NA
ENSG00000006607,NA
ENSG00000006611,NA
ENSG00000006634,NA
ENSG00000006638,NA
ENSG00000006652,NA
ENSG00000006659,NA
ENSG00000006695,NA
ENSG00000006704,NA
ENSG00000006712,NA
ENSG00000006715,M7
ENSG00000006740,M8
ENSG00000006744,NA
ENSG00000006747,NA
ENSG00000006756,M10
ENSG00000006757,NA
ENSG00000006788,NA
ENSG00000006831,M5
ENSG00000006837,M2
ENSG00000007001,NA
ENSG00000007038,NA
ENSG00000007047,M3
ENSG00000007062,NA
ENSG00000007080,NA
ENSG00000007129,NA
ENSG00000007168,M2
ENSG00000007171,M12
ENSG00000007174,NA
ENSG00000007202,NA
ENSG00000007216,NA
ENSG00000007237,M15
ENSG00000007255,M3
ENSG00000007264,NA
ENSG00000007306,NA
ENSG00000007312,NA
ENSG00000007314,NA
ENSG00000007341,NA
ENSG00000007350,NA
ENSG00000007372,M13
ENSG00000007376,NA
ENSG00000007384,M6
ENSG00000007392,M6
ENSG00000007402,M12
ENSG00000007516,NA
ENSG00000007520,NA
ENSG00000007541,M6
ENSG00000007545,NA
ENSG00000007866,NA
ENSG00000007908,NA
ENSG00000007923,NA
ENSG00000007933,NA
ENSG00000007944,NA
ENSG00000007952,NA
ENSG00000007968,NA
ENSG00000008018,M2
ENSG00000008056,M15
ENSG00000008083,NA
ENSG00000008086,NA
ENSG00000008118,M12
ENSG00000008196,NA
ENSG00000008197,NA
ENSG00000008226,NA
ENSG00000008256,M17
ENSG00000008277,NA
ENSG00000008282,M5
ENSG00000008283,M2
ENSG00000008294,M5
ENSG00000008300,M7
ENSG00000008311,NA
ENSG00000008323,NA
ENSG00000008324,NA
ENSG00000008394,M16
ENSG00000008405,NA
ENSG00000008438,NA
ENSG00000008441,NA
ENSG00000008513,NA
ENSG00000008516,NA
ENSG00000008517,NA
ENSG00000008710,M7
ENSG00000008735,M12
ENSG00000008838,NA
ENSG00000008853,M18
ENSG00000008869,M17
ENSG00000008952,NA
ENSG00000008988,NA
ENSG00000009307,M7
ENSG00000009413,NA
ENSG00000009694,NA
ENSG00000009709,NA
ENSG00000009724,NA
ENSG00000009765,NA
ENSG00000009780,NA
ENSG00000009790,NA
ENSG00000009830,M6
ENSG00000009844,M8
ENSG00000009950,M6
ENSG00000009954,M7
ENSG00000010017,NA
ENSG00000010072,NA
ENSG00000010165,M17
ENSG00000010219,NA
ENSG00000010244,NA
ENSG00000010256,M2
ENSG00000010270,M2
ENSG00000010278,M14
ENSG00000010292,NA
ENSG00000010295,NA
ENSG00000010310,NA
ENSG00000010318,NA
ENSG00000010319,NA
ENSG00000010322,NA
ENSG00000010327,NA
ENSG00000010361,NA
ENSG00000010379,NA
ENSG00000010404,NA
ENSG00000010438,M12
ENSG00000010539,NA
ENSG00000010610,NA
ENSG00000010626,NA
ENSG00000010704,NA
ENSG00000010803,NA
ENSG00000010810,M16
ENSG00000010818,NA
ENSG00000010932,NA
ENSG00000011007,NA
ENSG00000011009,NA
ENSG00000011021,M15
ENSG00000011028,NA
ENSG00000011083,NA
ENSG00000011105,NA
ENSG00000011114,M7
ENSG00000011132,NA
ENSG00000011198,NA
ENSG00000011201,M16
ENSG00000011243,M7
ENSG00000011260,M2
ENSG00000011275,NA
ENSG00000011295,M2
ENSG00000011304,M16
ENSG00000011332,NA
ENSG00000011347,M6
ENSG00000011376,NA
ENSG00000011405,NA
ENSG00000011422,NA
ENSG00000011426,M5
ENSG00000011454,NA
ENSG00000011465,NA
ENSG00000011478,NA
ENSG00000011485,M3
ENSG00000011523,M8
ENSG00000011566,NA
ENSG00000011590,NA
ENSG00000011600,M11
ENSG00000011638,NA
ENSG00000011677,NA
ENSG00000012048,NA
ENSG00000012061,NA
ENSG00000012124,NA
ENSG00000012171,M5
ENSG00000012174,NA
ENSG00000012211,NA
ENSG00000012223,NA
ENSG00000012232,M18
ENSG00000012504,NA
ENSG00000012660,M5
ENSG00000012779,NA
ENSG00000012817,NA
ENSG00000012822,NA
ENSG00000012963,NA
ENSG00000012983,M5
ENSG00000013016,NA
ENSG00000013275,M2
ENSG00000013288,NA
ENSG00000013293,NA
ENSG00000013306,M6
ENSG00000013364,M16
ENSG00000013374,NA
ENSG00000013375,NA
ENSG00000013392,M17
ENSG00000013441,NA
ENSG00000013503,NA
ENSG00000013523,NA
ENSG00000013561,M17
ENSG00000013563,M2
ENSG00000013573,NA
ENSG00000013583,NA
ENSG00000013588,NA
ENSG00000013619,NA
ENSG00000013725,NA
ENSG00000013810,NA
ENSG00000014123,NA
ENSG00000014138,NA
ENSG00000014164,M6
ENSG00000014216,NA
ENSG00000014257,NA
ENSG00000014641,M8
ENSG00000014824,M2
ENSG00000014919,NA
ENSG00000015153,M7
ENSG00000015285,M11
ENSG00000015413,NA
ENSG00000015475,NA
ENSG00000015479,M2
ENSG00000015520,NA
ENSG00000015532,NA
ENSG00000015592,NA
ENSG00000015676,M12
ENSG00000016391,NA
ENSG00000016402,NA
ENSG00000016490,NA
ENSG00000016864,NA
ENSG00000017260,NA
ENSG00000017373,NA
ENSG00000017427,NA
ENSG00000017483,M3
ENSG00000017621,NA
ENSG00000017797,NA
ENSG00000018189,M17
ENSG00000018236,M2
ENSG00000018280,NA
ENSG00000018408,NA
ENSG00000018510,NA
ENSG00000018610,NA
ENSG00000018625,M10
ENSG00000018699,NA
ENSG00000018869,NA
ENSG00000019102,NA
ENSG00000019144,M5
ENSG00000019169,NA
ENSG00000019186,NA
ENSG00000019485,NA
ENSG00000019505,M8
ENSG00000019549,NA
ENSG00000019582,M11
ENSG00000019991,NA
ENSG00000019995,NA
ENSG00000020129,M15
ENSG00000020181,NA
ENSG00000020219,NA
ENSG00000020256,NA
ENSG00000020426,NA
ENSG00000020577,NA
ENSG00000020633,NA
ENSG00000020922,NA
ENSG00000021300,M5
ENSG00000021355,NA
ENSG00000021461,NA
ENSG00000021488,NA
ENSG00000021574,NA
ENSG00000021645,M8
ENSG00000021762,NA
ENSG00000021776,NA
ENSG00000021826,NA
ENSG00000021852,NA
ENSG00000022267,NA
ENSG00000022277,NA
ENSG00000022355,M8
ENSG00000022556,NA
ENSG00000022567,NA
ENSG00000022840,NA
ENSG00000022976,NA
ENSG00000023041,NA
ENSG00000023191,NA
ENSG00000023228,NA
ENSG00000023287,NA
ENSG00000023318,NA
ENSG00000023330,NA
ENSG00000023445,M7
ENSG00000023516,M17
ENSG00000023572,M2
ENSG00000023608,M6
ENSG00000023697,M13
ENSG00000023734,M2
ENSG00000023839,NA
ENSG00000023902,NA
ENSG00000023909,NA
ENSG00000024048,NA
ENSG00000024422,NA
ENSG00000024526,NA
ENSG00000024862,NA
ENSG00000025039,NA
ENSG00000025156,M2
ENSG00000025293,NA
ENSG00000025423,M10
ENSG00000025434,M6
ENSG00000025708,M16
ENSG00000025770,NA
ENSG00000025772,NA
ENSG00000025796,NA
ENSG00000025800,NA
ENSG00000026025,M16
ENSG00000026036,NA
ENSG00000026103,NA
ENSG00000026297,M11
ENSG00000026508,NA
ENSG00000026559,NA
ENSG00000026652,NA
ENSG00000026751,NA
ENSG00000026950,NA
ENSG00000027001,NA
ENSG00000027075,NA
ENSG00000027644,NA
ENSG00000027847,NA
ENSG00000027869,NA
ENSG00000028116,NA
ENSG00000028137,M3
ENSG00000028203,NA
ENSG00000028277,NA
ENSG00000028310,M6
ENSG00000028528,NA
ENSG00000028839,M17
ENSG00000029153,NA
ENSG00000029363,NA
ENSG00000029364,NA
ENSG00000029534,NA
ENSG00000029559,NA
ENSG00000029639,NA
ENSG00000029725,NA
ENSG00000029993,NA
ENSG00000030066,NA
ENSG00000030304,NA
ENSG00000030419,NA
ENSG00000030582,M11
ENSG00000031003,M17
ENSG00000031081,NA
ENSG00000031544,NA
ENSG00000031691,NA
ENSG00000031698,M2
ENSG00000031823,NA
ENSG00000032219,M17
ENSG00000032389,M8
ENSG00000032444,M7
ENSG00000032742,NA
ENSG00000033011,NA
ENSG00000033030,NA
ENSG00000033050,M12
ENSG00000033122,NA
ENSG00000033170,M14
ENSG00000033178,NA
ENSG00000033327,M5
ENSG00000033800,NA
ENSG00000033867,NA
ENSG00000034053,M12
ENSG00000034152,NA
ENSG00000034239,NA
ENSG00000034510,NA
ENSG00000034533,NA
ENSG00000034677,NA
ENSG00000034693,NA
ENSG00000034713,NA
ENSG00000034971,NA
ENSG00000035115,NA
ENSG00000035141,NA
ENSG00000035403,M10
ENSG00000035499,NA
ENSG00000035664,NA
ENSG00000035681,NA
ENSG00000035687,M2
ENSG00000035720,NA
ENSG00000035862,NA
ENSG00000035928,NA
ENSG00000036054,NA
ENSG00000036257,M12
ENSG00000036448,NA
ENSG00000036473,NA
ENSG00000036530,NA
ENSG00000036549,M7
ENSG00000036565,NA
ENSG00000036672,NA
ENSG00000036828,NA
ENSG00000037042,NA
ENSG00000037241,M2
ENSG00000037280,NA
ENSG00000037474,NA
ENSG00000037637,M3
ENSG00000037749,NA
ENSG00000037757,NA
ENSG00000037897,NA
ENSG00000037965,NA
ENSG00000038002,NA
ENSG00000038210,NA
ENSG00000038219,NA
ENSG00000038274,NA
ENSG00000038295,NA
ENSG00000038358,M7
ENSG00000038382,NA
ENSG00000038427,M5
ENSG00000038532,NA
ENSG00000038945,NA
ENSG00000039068,NA
